Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
20/08/2014	2800	2800	2800	2800	140000	1	0	0	50	100.8
21/08/2014	2800	2800	2800	2800	10483200	6	0	0	3744	100.8
22/08/2014	0	0	0	0	0	0	0	0	0	100.8
25/08/2014	2800	2800	2800	2800	140000	1	0	0	50	100.8
26/08/2014	0	0	0	0	0	0	0	0	0	101.52
27/08/2014	2860	2860	2860	2860	2628340	7	0	0	919	102.96
28/08/2014	0	0	0	0	0	0	0	0	0	102.96
29/08/2014	2880	2880	2880	2880	1843200	2	0	0	640	103.68
01/09/2014	0	0	0	0	0	0	0	0	0	103.68
02/09/2014	2880	2920	2920	2880	2601640	6	0	0	891	105.12
03/09/2014	3000	3000	3000	3000	1761000	4	0	0	587	108
04/09/2014	0	0	0	0	0	0	0	0	0	108
05/09/2014	0	0	0	0	0	0	0	0	0	108
08/09/2014	3050	3050	3050	3050	1342000	1	0	0	440	109.8
09/09/2014	0	0	0	0	0	0	0	0	0	109.8
10/09/2014	0	0	0	0	0	0	0	0	0	109.8
11/09/2014	3100	3140	3150	3100	9273100	3	0	0	2951	113.04
12/09/2014	0	0	0	0	0	0	61020	0	0	113.04
15/09/2014	0	0	0	0	0	0	61020	0	0	113.04
16/09/2014	3500	3500	3500	3500	35000000	3	10000	0	10000	126
17/09/2014	3700	3700	3700	3700	8880000	2	20980	2600	2400	133.2
18/09/2014	3700	3700	3700	3700	9668100	5	22610	0	2613	133.2
19/09/2014	3720	3720	3720	3720	2418000	3	26070	0	650	133.92
22/09/2014	0	0	0	0	0	0	27290	0	0	133.92
23/09/2014	3800	3760	3800	3740	1881400	4	21660	0	500	135.36
24/09/2014	0	0	0	0	0	0	4400	0	0	135.36
25/09/2014	3800	3800	3800	3760	1751760	4	13880	6	461	136.8
26/09/2014	0	0	0	0	0	0	9860	6	0	136.8
29/09/2014	3800	3900	4000	3800	176942000	13	0	26	45380	140.4
30/09/2014	0	0	0	0	0	0	1990	26	0	140.4
01/10/2014	4000	4150	4200	3760	36921500	13	29710	0	8906	149.4
02/10/2014	4300	4290	4300	4210	9528000	2	30090	0	2220	154.44
03/10/2014	4300	4300	4300	4300	2924000	1	31810	0	680	154.8
06/10/2014	0	0	0	0	0	0	33740	0	0	154.8
07/10/2014	4500	4500	4500	4500	22500000	3	39670	0	5000	162
08/10/2014	5000	5000	5000	5000	100000000	16	8830	0	20000	180
09/10/2014	5000	4980	5000	4510	86179300	11	7810	38470	17312	179.28
10/10/2014	5000	5000	5000	5000	2000000	1	25970	5000	400	180
13/10/2014	5500	5270	5500	5060	110052800	6	10970	34320	20880	189.72
15/10/2014	5270	5040	5060	5010	51706180	4	5500	29050	10268	181.44
16/10/2014	5040	5060	5060	5000	400243000	14	20080	0	79100	182.16
17/10/2014	5060	5060	5060	5040	170208920	7	0	0	33642	182.16
20/10/2014	5060	5060	5060	5060	52978200	5	0	40430	10470	182.16
21/10/2014	5060	5060	5060	5060	6072000	1	0	39230	1200	182.16
