Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
09/05/2014	8100	8100	8100	8100	4050000	2	65400	2300	500	2388.92
12/05/2014	8100	8100	8100	8100	3223800	4	30800	2300	398	2388.92
13/05/2014	8100	8100	8100	8100	1458000	3	63700	2300	180	2388.92
14/05/2014	8100	8100	8100	8100	9720000	2	44400	0	1200	2388.92
15/05/2014	8120	8120	8120	8100	17409120	7	74200	2300	2144	2394.82
16/05/2014	8120	8120	8140	8120	207199480	8	78900	400	25029	2394.82
19/05/2014	8160	8160	8160	8140	89645620	9	56900	0	10987	2406.62
20/05/2014	8160	8160	8180	8160	13971440	15	65200	0	1712	2406.62
21/05/2014	8160	8160	8160	8160	15863040	6	43300	0	1944	2406.62
22/05/2014	8160	8180	8180	8160	20096120	9	49200	0	2457	2412.51
23/05/2014	8200	8200	8200	8180	10639000	7	75400	0	1300	2418.41
26/05/2014	8200	8200	8200	8200	410000	1	66700	0	50	2418.41
27/05/2014	8220	8220	8220	8200	10274000	6	68600	0	1250	2424.31
28/05/2014	8240	8240	8220	8200	128743280	5	140300	0	14197	2430.21
29/05/2014	8400	8400	8400	8400	348240000	3	96100	0	41100	2477.4
30/05/2014	8640	8640	8640	8460	65932400	6	52400	0	7640	2548.18
02/06/2014	8480	8480	8500	8480	8905000	2	122400	0	1050	2500.99
03/06/2014	8500	8500	8500	8500	12911500	5	92500	0	1519	2500.99
04/06/2014	8500	8540	8540	8500	4703500	2	50600	0	551	2518.69
05/06/2014	8500	8540	8540	8500	768600	2	50600	0	90	2518.69
06/06/2014	8580	8580	8580	8580	858000	1	28200	0	100	2530.49
09/06/2014	8740	8740	8740	8740	55062000	4	30400	0	6300	2577.67
10/06/2014	8740	8740	8740	8740	192912720	1	100400	200	22022	2577.67
11/06/2014	8740	8740	8740	8740	1730520	7	31500	0	198	2577.67
12/06/2014	8780	8800	8800	8740	218008060	19	39300	0	24819	2595.37
13/06/2014	8800	9000	9000	8800	161580000	11	28900	0	18200	2654.36
16/06/2014	9000	9000	9000	9000	180000	1	29200	0	20	2654.36
16/06/2014	9020	9020	9020	8980	25200080	8	27700	0	2796	2660.25
18/06/2014	9020	9020	9040	9020	2852520	7	21100	0	316	2660.25
19/06/2014	9500	9500	9500	9020	"1,165,155,80"	17	3300	15700	122650	2801.82
20/06/2014	9500	9500	9500	9500	1367050000	11	3100	51800	143900	2801.82
23/06/2014	9500	9600	9600	9500	555346000	8	47100	0	58288	2831.31
24/06/2014	9600	9600	9600	9500	66428000	14	54900	0	6920	2831.31
25/06/2014	0	0	0	0	0	0	52100	0	0	2831.31
26/06/2014	9700	9700	9700	9700	68385000	2	58900	1800	7050	2860.81
27/06/2014	0	0	0	0	0	0	7160	1800	0	2860.81
30/06/2014	0	0	0	0	0	0	7200	1800	0	2860.81
01/07/2014	9900	9900	9700	9700	126779400	14	16300	1800	12806	2919.79
01/07/2014	9900	9900	9700	9700	126779400	14	16300	1800	12806	2919.79
03/07/2014	9900	9900	9900	9900	3861000	2	10560	0	390	2919.79
04/07/2014	9900	9900	9900	9900	14850000	6	40690	0	1500	2919.79
08/07/2014	9900	9900	9900	9900	2970000	3	57090	0	300	2919.79
09/07/2014	9910	9910	9910	9910	9910000	2	0	0	1000	2922.74
10/07/2014	9920	9930	9940	9920	328196430	7	0	0	33051	2928.64
11/07/2014	10000	10000	10000	9960	69406000	10	0	0	6943	2949.28
14/07/2014	0	0	0	0	0	0	0	0	0	2949.28
15/07/2014	10400	10400	10010	10010	12402000	2	0	0	1200	2952.23
16/07/2014	10050	10050	10030	10030	12956200	6	0	0	1290	2961.08
17/07/2014	10100	10100	10100	10100	2068400	3	0	0	205	2961.08
18/07/2014	10130	10130	10100	10130	31958020	7	0	0	3155	2987.63
21/07/2014	11500	11500	11500	11500	16797880000	6	0	0	1407120	3391.68
22/07/2014	10130	11500	11500	10130	88139000	3	0	0	7700	3391.68
23/07/2014	11500	11500	11500	11500	12822500	6	0	0	1115	3391.68
24/07/2014	11500	11500	11500	11500	1265000	1	0	0	110	3391.68
25/07/2014	11500	11500	11510	11500	248826000	5	0	0	21630	3391.68
28/07/2014	0	0	0	0	0	0	0	0	0	3391.68
31/07/2014	11500	11500	11500	11500	748098000	40	0	0	65052	3391.68
01/08/2014	12000	12000	12000	12000	184920000	13	0	0	15410	3539.14
04/08/2014	12000	12000	12000	12000	76104000	13	0	0	6342	3539.14
05/08/2014	13000	12590	13000	12000	22667000	5	0	0	1800	3713.15
06/08/2014	13000	13000	13000	13000	54990000	6	0	0	4230	3834.07
07/08/2014	13000	13000	13000	13000	42510000	1	0	0	3270	3834.07
11/08/2014	14000	13310	14000	13010	607998000	26	0	0	45670	3925.5
12/08/2014	13010	13400	13500	13010	136231700	5	0	0	10170	3952.04
13/08/2014	13500	13440	13500	13010	28060600	3	0	0	1070	3963.84
14/08/2014	0	0	0	0	0	0	0	0	0	3963.84
15/08/2014	13500	13500	13500	13500	18360000	7	0	0	1360	3981.53
18/08/2014	13500	13490	13500	13400	25235000	3	0	0	1870	3978.58
19/08/2014	13100	13370	13500	13100	18053000	8	0	0	1350	3943.19
20/08/2014	13100	13030	13100	13000	39877000	12	0	0	3060	3842.92
21/08/2014	13110	13130	13130	13110	46995400	16	0	0	3580	3872.41
22/08/2014	13100	13380	13500	13100	2605988160	17	0	0	143428	3946.14
25/08/2014	13100	13030	13100	13000	39877000	12	0	0	3060	3842.92
26/08/2014	13100	13100	13100	13100	46963500	8	0	0	3585	3863.56
27/08/2014	13100	13100	13100	13100	22663000	3	0	0	1730	3863.56
28/08/2014	13500	13540	13700	13500	174702000	9	0	0	12900	3993.33
29/08/2014	13700	13710	13710	13700	32022067500	6	0	0	2001610	4043.47
01/09/2014	13710	13710	13710	13710	3153300	2	0	0	230	4043.47
02/09/2014	13710	13710	13710	13710	6032400	2	0	0	440	4043.47
03/09/2014	13710	13710	13710	13710	7540500	7	0	0	550	4043.47
04/09/2014	13710	13710	13710	13710	41130	1	0	0	3	4043.47
