Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
43157	3540	3540	0	0	0	0	310	8	0	127.44
43158	3540	3540	3500	3500	1190000	2	0	1004	340	127.44
43159	3540	3540	0	0	0	0	0	996	0	127.44
43160	3540	3540	0	0	0	0	0	1397	0	127.44
43161	3540	3540	0	0	0	0	0	1837	0	127.44
43164	3540	3540	0	0	0	0	0	1837	0	127.44
43165	3540	3540	0	0	0	0	0	1290	0	127.44
43166	3540	3540	0	0	0	0	0	5810	0	127.44
43167	3540	3540	3500	3500	280000	1	0	5849	80	127.44
43171	3540	3540	0	0	0	0	0	5841	0	127.44
43172	3540	3540	3500	3500	350000	1	0	6183	100	127.44
43173	3540	3540	0	0	0	0	5500	2653	0	127.44
43174	3540	3540	3400	3240	2386000	5	5070	3548	722	127.44
43175	3540	3540	0	0	0	0	5070	3548	0	127.44
43178	3540	3540	0	0	0	0	5070	3226	0	127.44
43179	3540	3540	3260	3260	2914440	2	5070	2946	894	127.44
43180	3540	3540	3360	3360	1344000	1	0	2056	400	127.44
43181	3540	3540	3260	3260	1437660	2	7670	1082	441	127.44
43182	3540	3540	0	0	0	0	7670	1978	0	127.44
43185	3540	3540	3260	3260	1467000	1	7220	2403	450	127.44
43187	3540	3540	3260	3260	2744920	4	8460	1765	842	127.44
43188	3540	3540	0	0	0	0	2280	2105	0	127.44
43193	3540	3540	3300	3300	1452000	2	1840	786	440	127.44
43194	3540	3540	3300	3260	10988920	6	0	1679	3330	127.44
42463	3540	3540	3400	3400	408000	2	20	1762	120	127.44
43196	3540	3540	3400	3400	408000	3	0	2968	120	127.44
43199	3540	3540	3380	3300	77660	3	2	2945	23	127.44
43200	3540	3540	3400	3380	4037600	3	9892	1755	1190	127.44
43201	3540	3540	3400	3380	2060280	3	11314	2699	606	127.44
43202	3540	3540	3400	3400	3400000	1	0	0	1000	127.44
43203	3540	3540	3400	3400	4114000	5	9104	1450	1210	127.44
43206	3540	3540	3400	3400	2590800	3	8344	1579	762	127.44
43207	3540	3540	0	0	0	0	2024	2019	0	127.44
43208	3540	3540	3380	3380	135200	1	0	2222	40	127.44
43209	3540	3540	3400	3400	3284400	5	6160	1389	966	127.44
43210	3540	3540	0	0	0	0	6160	889	0	127.44
43213	3540	3540	3400	3260	11660400	2	5130	941	3530	127.44
43214	3540	3540	3500	3500	3290000	3	11190	1	940	127.44
43215	3540	3540	0	0	0	0	11610	1047	0	127.44
43217	3540	3540	0	0	0	0	6550	1047	0	127.44
43220	3540	3540	0	0	0	0	6490	449	0	127.44
43222	3540	3540	0	0	0	0	6490	0	0	127.44
43223	3540	3540	3520	3520	7708800	2	6490	50	2190	127.44
43224	3540	3540	3520	3520	1548800	2	6158	50	440	127.44
43227	3540	3540	3520	3520	28160	2	90	51	8	127.44
43228	3540	3540	3520	3520	316800	2	10	1880	90	127.44
43229	3540	3540	3520	3500	385200	3	10	1870	110	127.44
43230	3540	3540	3500	3500	8225000	5	8260	453	2350	127.44
43231	3540	3540	0	0	0	0	8260	453	0	127.44
43234	3540	3540	0	0	0	0	8260	452	0	127.44
43235	3540	3520	3520	3500	40691140	3	0	10	11560	126.72
43236	3520	3520	3500	3500	1155000	2	0	2800	330	126.72
43237	3520	3520	3520	3500	10678200	7	8406	704	3050	126.72
43238	3520	3520	3400	3400	1502800	2	7964	704	442	126.72
43241	3520	3520	3400	3400	2040000	1	7364	704	600	126.72
43242	3520	3520	0	0	0	0	7364	704	0	126.72
43243	3520	3520	3400	3400	1543600	2	6910	704	454	126.72
