Date 	"Opening Price
(TZS)"	"Closing Price
(TZS)"	High (TZS)	"Low
(TZS)"	"Turnover
(TZS)
"	"Number of 
deals"	"Outstanding
shares bids"	"Outstanding
Offers"	"Number of 
share 
traded
"	"Market Cap 
(TZS) 
Billions"
17/04/2014	310	310	310	305	1361837190	17	285900	608400	4393099	674.72
22/04/2014	310	310	320	310	27502190	11	364300	1140700	86226	674.72
23/04/2014	315	320	320	315	41200600	9	514500	614500	129080	685.61
24/04/2014	320	320	320	320	627520000	36	125700	184800	1961000	696.49
25/04/2014	310	310	320	310	1115326780	31	17000	93500	3597823	696.49
28/04/2014	305	305	315	305	1812100	9	66700	736000	5940	663.84
29/04/2014	305	305	310	305	129545900	23	91300	530000	424740	663.84
30/04/2014	305	310	310	305	14992650	17	257300	631000	48970	674.72
02/05/2014	3310	310	310	305	17794500	16	197600	628700	58100	674.72
05/05/2014	310	310	310	305	5676025	13	257500	182600	18310	674.72
06/05/2014	310	305	310	305	5258750	14	12900	269600	17025	663.84
07/05/2014	305	310	310	305	9319700	14	12900	269600	30220	674.72
08/05/2014	305	310	310	305	35056440	33	43100	141500	113724	674.72
09/05/2014	310	310	315	310	19466925	24	153200	0	62795	674.72
12/05/2014	315	315	315	310	32956885	24	643400	162800	105429	685.61
13/05/2014	320	320	320	315	26196625	13	914500	90800	81875	696.49
14/05/2014	320	320	325	320	13065040	8	921800	79500	40447	696.49
15/05/2014	325	325	325	320	25949420	15	755200	56400	80831	707.37
16/05/2014	325	325	325	325	17192500	14	478500	86700	52900	707.37
19/05/2014	325	320	325	320	108667325	40	75800	290200	338001	696.49
20/05/2014	325	320	325	320	9383375	11	467100	429400	29275	696.49
21/05/2014	320	320	320	320	4838400	14	442900	539100	15120	696.49
22/05/2014	320	310	320	310	1325000	10	404700	660900	14200	674.72
23/05/2014	310	310	320	310	6401511000	9	509600	431600	20004800	674.72
26/05/2014	320	320	320	320	2400000	4	145100	402800	7500	696.49
27/05/2014	315	315	320	315	13219000	17	143100	731100	41725	685.61
28/05/2014	315	310	320	310	152337000	43	10300	365300	68561	17.95
29/05/2014	310	310	310	310	373581000	14	12600	482800	1205100	674.72
30/05/2014	320	320	320	310	4480011000	22	229300	0	14000400	696.49
02/06/2014	320	320	320	320	7684480	25	251100	141400	24014	696.49
03/06/2014	320	320	325	320	27802225	11	181700	777900	86650	696.49
04/06/2014	320	320	320	320	16238400	14	253700	772200	50745	696.49
05/06/2014	320	320	320	320	780480	13	90000	754000	2439	696.49
06/06/2014	320	320	320	320	13952000	5	106600	666200	43600	696.49
09/06/2014	320	315	320	315	82638960	26	7600	240200	262303	685.61
10/06/2014	320	315	320	315	32322060	20	2400	210200	102608	685.61
11/06/2014	315	320	320	315	121522320	23	83800	742100	380226	696.49
12/06/2014	315	320	320	315	48541000	12	308400	830400	151700	696.49
13/06/2014	320	315	320	315	332608380	31	334110	761000	1039409	685.61
16/06/2014	320	320	320	320	1728632000	38	627200	523000	5245725	696.49
16/06/2014	320	320	320	320	1008000	5	524000	1019900	3150	696.49
18/06/2014	320	320	320	315	5982500	11	344800	231700	18700	696.49
19/06/2014	320	320	320	320	165366400	34	217900	362900	516770	696.49
20/06/2014	320	320	320	320	23200000	16	298300	368600	72500	696.49
23/06/2014	320	320	320	320	652328000	31	269000	16100	2038525	696.49
24/06/2014	320	320	320	320	34153920	13	269000	197100	106731	696.49
25/06/2014	320	315	320	315	2360900	10	90100	209700	7470	685.61
26/06/2014	320	320	320	320	20440000	18	173000	1163900	63875	696.49
27/06/2014	320	320	320	320	441726400	101	100090	10800	1380395	696.49
30/06/2014	330	320	330	320	36216000	34	32550	40800	113175	696.49
01/07/2014	320	320	320	320	4000000	2	119670	0	12500	696.49
01/07/2014	320	320	320	320	4000000	2	119670	0	12500	696.49
03/07/2014	320	320	320	320	18477760	16	258650	0	57743	696.49
04/07/2014	320	320	330	320	25683520	64	664190	500000	80261	696.49
08/07/2014	320	320	330	320	174051840	39	127900	690800	543912	696.49
09/07/2014	320	320	320	320	50005440	133	0	0	156267	696.49
10/07/2014	320	325	325	320	95943250	19	0	0	295210	707.37
11/07/2014	320	320	320	320	13839680	22	0	0	43249	696.49
14/07/2014	320	320	325	320	10616900	3	0	0	33170	696.49
15/07/2014	320	320	330	320	852427280	19	0	0	2647604	696.49
16/07/2014	320	320	325	320	17529680	23	0	0	54709	696.49
17/07/2014	320	320	320	320	68910400	31	0	0	215345	696.49
18/07/2014	320	320	320	320	6684000	17	0	0	20575	696.49
21/07/2014	325	320	325	320	14915750	3	0	0	46510	696.49
22/07/2014	325	320	325	320	41637650	46	0	0	128863	696.49
23/07/2014	325	320	325	320	128766845	60	0	0	402276	696.49
24/07/2014	325	320	325	320	10755620	15	0	0	33141	696.49
25/07/2014	325	320	325	320	253689325	46	0	0	792779	696.49
28/07/2014	320	320	320	320	5140800	23	0	0	16065	696.49
31/07/2014	320	315	320	315	3854073430	37	0	0	12044384	685.61
01/08/2014	315	315	315	315	39162375	17	0	0	124325	685.61
04/08/2014	315	320	320	315	71458175	31	0	0	223485	696.49
05/08/2014	320	320	320	315	152084475	22	0	0	475280	696.49
06/08/2014	320	320	320	320	52063680	10	0	0	162699	696.49
07/08/2014	320	320	325	320	158546200	22	0	0	495410	696.49
11/08/2014	320	320	325	320	5523545	14	0	0	17238	696.49
12/08/2014	320	320	325	320	147568010	62	0	0	460128	696.49
13/08/2014	320	320	320	320	21994880	11	0	0	68734	696.49
14/08/2014	320	320	320	320	169884800	58	0	0	530890	696.49
15/08/2014	320	320	320	320	263534400	24	0	0	823545	696.49
18/08/2014	320	320	320	320	16568000	32	0	0	51775	696.49
19/08/2014	320	320	320	320	284893760	50	0	0	890293	696.49
20/08/2014	320	320	320	320	35414720	12	0	0	110671	696.49
21/08/2014	320	320	320	320	4110657920	28	0	0	12845806	696.49
22/08/2014	320	320	320	320	4635718400	11	0	0	14486620	696.49
25/08/2014	320	320	320	320	35414720	12	0	0	110671	696.49
26/08/2014	320	325	325	320	13977760	16	0	0	43243	707.37
27/08/2014	325	320	325	320	21105500	38	0	0	65940	696.49
28/08/2014	320	320	320	320	6888000	39	0	0	21525	696.49
29/08/2014	320	320	320	315	262101880	26	0	0	819294	696.49
01/09/2014	320	320	320	320	13076800	18	0	0	40865	696.49
02/09/2014	320	320	320	320	1107200	20	0	0	3460	696.49
03/09/2014	320	320	320	315	21319410	20	0	0	67068	696.49
04/09/2014	315	315	315	315	2709000	6	0	0	8600	685.61
05/09/2014	315	320	320	315	137739700	21	0	0	432490	696.49
08/09/2014	320	320	320	315	129150090	16	0	0	403622	696.49
09/09/2014	315	315	320	315	48455665	25	0	0	153270	685.61
10/09/2014	315	315	315	315	33465600	8	0	0	106240	685.61
11/09/2014	315	315	315	315	1222200	8	0	0	3880	685.61
12/09/2014	315	315	315	315	277200	5	4004	382210	880	685.61
15/09/2014	315	320	320	300	323007555	71	0	190675	1012662	696.49
16/09/2014	320	320	320	315	739484990	40	204340	412890	2310891	696.49
17/09/2014	320	320	320	320	37628800	9	89256	412890	117590	696.49
18/09/2014	320	320	325	320	52068240	20	250	643800	161932	696.49
19/09/2014	320	320	320	315	7518700	16	1820	723484	23505	696.49
22/09/2014	320	320	320	315	97415080	47	102	935260	304449	696.49
23/09/2014	320	320	320	315	60118370	26	8002	506000	188061	696.49
24/09/2014	320	320	320	315	33073760	25	10874	556000	103418	696.49
25/09/2014	320	320	320	320	2785500	13	72328	555850	8700	696.49
26/09/2014	320	320	320	320	4511360	33	15830	7902	14098	696.49
29/09/2014	320	315	320	315	29331200	15	29570	0	92910	685.61
30/09/2014	320	330	330	320	267505200	35	223043	0	815155	718.26
01/10/2014	330	330	330	330	29996010	19	177643	0	90897	718.26
